Player Names,Goals,Average Goals
Antoine Griezmann,15,0.40540540540540543
Borja Iglesias,17,0.4857142857142857
Lionel Messi,36,1.2413793103448276
Jorge Molina,14,0.5
Charles,14,0.8235294117647058
Wissam Ben Yedder,18,0.5806451612903226
Morales ,12,0.34285714285714286
Arkadiusz Milik,17,0.6296296296296297
Duvan Zapata,23,0.71875
Lorenzo Insigne,10,0.4166666666666667
Cristiano Ronaldo,21,0.7
Ciro Immobile,15,0.4838709677419355
Andrea Belotti,15,0.40540540540540543
Fabio Quagliarella,26,0.7027027027027027
Mandzukic None,9,0.391304347826087
Edin Dzeko,9,0.32142857142857145
Andrea Petagna,16,0.45714285714285713
Roberto Inglese,9,0.391304347826087
Josip Ilicic,12,0.5217391304347826
Francesco Caputo,16,0.42105263157894735
Leonardo Pavoletti,16,0.5161290322580645
Gregoire Defrel,11,0.4230769230769231
Dries Mertens,16,0.6956521739130435
Stephan El Shaarawy,11,0.4782608695652174
Gervinho ,11,0.4074074074074074
Mauro Icardi,11,0.4583333333333333
Krzysztof Piatek,23,0.6764705882352942
Andrej Kramaric,16,0.5714285714285714
Alassane Plea,12,0.42857142857142855
Kai Havertz,16,0.48484848484848486
Luka Jovic,17,0.68
Ante Rebic,11,0.4782608695652174
Jadon Sancho,13,0.5
Alfred Finnbogason,10,0.5882352941176471
Ondrej Duda,11,0.36666666666666664
Paco Alcacer,18,1.6363636363636365
Timo Werner,16,0.5517241379310345
Benito Raman,10,0.5263157894736842
Kevin Volland,14,0.4375
Wout Weghorst,17,0.5151515151515151
Ishak Belfodil,18,0.9
Marco Reus,17,0.6296296296296297
Jean-Philippe Mateta,14,0.4827586206896552
Sebastien Haller,15,0.6521739130434783
Max Kruse,11,0.34375
Robert Lewandowski,22,0.6666666666666666
Yussuf Poulsen,15,0.5555555555555556
Angel Di Maria,12,0.42857142857142855
Remi Oudin,10,0.3125
Nicolas Pepe,22,0.5945945945945946
Emiliano Sala,12,0.75
Jonathan Bamba,13,0.37142857142857144
M'Baye Niang,11,0.5789473684210527
Neymar ,15,0.9375
Edinson Cavani,18,0.9
Stephane Bahoken,11,0.3548387096774194
Max Gradel,11,0.3055555555555556
Florian Thauvin,16,0.5333333333333333
Kylian Mbappe-Lottin,33,1.375
Wahbi Khazri,13,0.40625
Falcao ,15,0.5172413793103449
Gaetan Laborde,11,0.3055555555555556
Andy Delort,14,0.3888888888888889
Moussa Dembele,15,0.7142857142857143
Memphis Depay,10,0.3448275862068966
Lebo Mothiba,10,0.47619047619047616
Francois Kamano,10,0.3448275862068966
Luka Milivojevic,12,0.3157894736842105
Joshua King,12,0.35294117647058826
Paul Pogba,13,0.38235294117647056
Mohamed Salah,22,0.5945945945945946
Ashley Barnes,12,0.46153846153846156
Glenn Murray,13,0.43333333333333335
Richarlison ,14,0.4375
Sadio Mane,22,0.6285714285714286
Callum Wilson,14,0.4827586206896552
Son Heung-Min,12,0.5217391304347826
Harry Kane,17,0.6296296296296297
Sergio Aguero,21,0.6774193548387096
Eden Hazard,16,0.5
Pierre-Emerick Aubameyang,22,0.7333333333333333
Gylfi Sigurdsson,13,0.3611111111111111
Raheem Sterling,17,0.5483870967741935
Jamie Vardy,18,0.6
Ayoze Perez,12,0.35294117647058826
Alexandre Lacazette,14,0.5185185185185185
Raul Jimenez,13,0.3611111111111111
Lucas Paqueta,10,0.3225806451612903
Everton ,9,0.375
Juan Cazares,8,0.32
Deyverson ,9,0.8181818181818182
Pablo ,12,0.4
Leandro Damiao ,10,0.5263157894736842
